url,name,height_in,weight,position,transfer_stars,transfer_rating,hs_stars,hs_rating,eligibility,old_school,new_school
https://247sports.com/Player/Ronald-Triplette-46058317/,Ronald Triplette,74.0,240,WDE,,,3.0,0.8410,,Kansas State,UTSA
https://247sports.com/Player/Malcolm-Robinson-89011/,Malcolm Robinson,75.0,305,DT,,,3.0,0.8406,Immediate,Minnesota,
https://247sports.com/Player/Derick-Newton-46041486/,Derick Newton,74.0,280,DT,,,3.0,0.8398,,Kansas State,Kansas State
https://247sports.com/Player/Will-Rodgers-III-38372/,Will Rodgers III,76.0,249,WDE,,,3.0,0.8377,Immediate,Washington State,Temple
https://247sports.com/Player/Jorell-Baum-46051927/,Jorell Baum,77.0,220,WDE,,,3.0,0.8376,,Old Dominion,
https://247sports.com/Player/Derrick-Ray-Jr-46050398/,Derrick Ray Jr.,74.0,240,WDE,,,3.0,0.8375,,Texas State,
https://247sports.com/Player/Jamal-Holloway-56425/,Jamal Holloway,75.0,215,WDE,,,3.0,0.8372,,UNLV,
https://247sports.com/Player/Darius-McFarland-79769/,Darius McFarland,74.0,250,SDE,,,3.0,0.8366,,BYU,
https://247sports.com/Player/Kelton-Dawson-82957/,Kelton Dawson,75.0,242,SDE,,,3.0,0.8359,Immediate,Georgia Tech,
https://247sports.com/Player/Jaohne-Duggan-81256/,Jaohne Duggan,73.0,292,DT,,,3.0,0.8332,,Rutgers,
https://247sports.com/Player/Kylan-Wilborn-90142/,Kylan Wilborn,74.0,236,WDE,,,3.0,0.8321,Immediate,Arizona,
https://247sports.com/Player/Javasia-Brunson-46051476/,Javasia Brunson,74.0,251,SDE,,,3.0,0.8305,,Nevada,
https://247sports.com/Player/Rob-Cummins-94364/,Rob Cummins,78.0,260,SDE,,,3.0,0.8260,,Texas,
https://247sports.com/Player/Stephone-Atkinson-46052274/,Stephone Atkinson,75.0,220,WDE,,,3.0,0.8254,,Western Kentucky,
https://247sports.com/Player/Luc-Bequette-33669/,Luc Bequette,74.0,300,WDE,,,3.0,0.8244,Immediate,California,Boston College
https://247sports.com/Player/Kyiev-Bennermon-46040389/,Kyiev Bennermon,76.0,280,DT,,,3.0,0.8235,,Boston College,
https://247sports.com/Player/Hozey-Haji-Badri-94722/,Hozey Haji-Badri,75.0,276,DT,,,3.0,0.8228,,East Carolina,
https://247sports.com/Player/Mike-Ciaffoni-46054593/,Mike Ciaffoni,75.0,265,DT,,,3.0,0.8222,,Boston College,
https://247sports.com/Player/Ethan-Rinke-46042981/,Ethan Rinke,75.5,240,WDE,,,3.0,0.8198,,Tennessee,South Alabama
https://247sports.com/Player/Elijah-Campbell-86236/,Elijah Campbell,74.0,244,DT,,,3.0,0.8154,,Georgia Southern,
https://247sports.com/Player/Caleb-Thomas-81484/,Caleb Thomas,72.0,289,DT,,,3.0,0.8147,Immediate,Connecticut,
https://247sports.com/Player/Isaiah-Bean-86117/,Isaiah Bean,76.0,210,WDE,,,3.0,0.8125,Immediate,Kansas,
https://247sports.com/Player/Armon-Williams-46039964/,Armon Williams,75.0,323,DT,,,3.0,0.8104,,USF,
https://247sports.com/Player/Shannon-Carswell-46035589/,Shannon Carswell,76.0,285,SDE,,,3.0,0.8064,,Southern Miss,
https://247sports.com/Player/Jakharious-Smith-94288/,Jakharious Smith,75.0,230,WDE,,,3.0,0.8056,,Texas State,
https://247sports.com/Player/David-Reynolds-46042615/,David Reynolds,77.0,245,WDE,,,3.0,0.8053,,FIU,FIU
https://247sports.com/Player/Myles-Vigne-79949/,Myles Vigne,73.0,300,DT,,,3.0,0.8002,,New Mexico State,
https://247sports.com/Player/Mason-Cholewa-89562/,Mason Cholewa,78.0,255,DT,,,3.0,0.7996,,UCF,James Madison
https://247sports.com/Player/Tahji-Gilbert-46059301/,Tahji Gilbert,72.0,282,DT,,,3.0,0.7983,,Georgia State,
https://247sports.com/Player/Caden-Hilborn-46045986/,Caden Hilborn,76.0,260,DT,,,3.0,0.7982,,Hawaii,
https://247sports.com/Player/Livingston-Paogofie-80302/,Livingston Paogofie,74.0,240,DT,,,2.0,0.7961,,Colorado State,
https://247sports.com/Player/Dakari-Bickham-46057461/,Dakari Bickham,76.0,250,SDE,,,2.0,0.7900,,UTEP,
https://247sports.com/Player/Marcus-Romboli-46097551/,Marcus Romboli,75.0,240,SDE,,,2.0,0.7898,,Central Michigan,
https://247sports.com/Player/Dylan-Boles-46035668/,Dylan Boles,76.0,255,SDE,,,2.0,0.7889,Immediate,Stanford,
https://247sports.com/Player/Garrett-Crawford-46040790/,Garrett Crawford,73.0,230,WDE,,,2.0,0.7853,,Southern Miss,
https://247sports.com/Player/Jake-Byczko-89540/,Jake Byczko,75.0,255,WDE,,,2.0,0.7783,Immediate,Massachusetts,Boston College
https://247sports.com/Player/Logan-Arnold-46053336/,Logan Arnold,75.0,260,SDE,,,2.0,0.7741,,Nevada,
https://247sports.com/Player/Frendy-Darelus-46037476/,Frendy Darelus,77.0,225,WDE,,,2.0,0.7709,,Buffalo,
https://247sports.com/Player/Emmanuel-Jones-46038546/,Emmanuel Jones,75.0,230,WDE,,,2.0,0.7709,,Colorado State,Colorado State
https://247sports.com/Player/Keion-White-46037948/,Keion White,76.0,230,WDE,,,2.0,0.7681,,Old Dominion,
https://247sports.com/Player/Juwan-Ross-82595/,Juwan Ross,74.0,290,DT,,,2.0,0.7581,Immediate,Old Dominion,
https://247sports.com/Player/Cameron-Washington-88404/,Cameron Washington,76.0,245,DT,,,2.0,0.7575,,Old Dominion,
https://247sports.com/Player/Adeeb-Atariwa-77645/,Adeeb Atariwa,75.0,265,DT,,,0.0,,Immediate,James Madison,
https://247sports.com/Player/Tagg-Bullock-46081022/,Tagg Bullock,77.0,240,WDE,,,0.0,,,East Carolina,North Carolina A&amp;T
https://247sports.com/Player/Austin-Lewis-46111733/,Austin Lewis,78.0,270,WDE,,,0.0,,,Liberty,
https://247sports.com/Player/Seun-Oluwatimi-46044007/,Seun Oluwatimi,73.0,298,DT,,,0.0,,,Maryland,
https://247sports.com/Player/Kolby-Wyatt-46038575/,Kolby Wyatt,76.0,240,SDE,,,0.0,,,Georgia,
https://247sports.com/Player/Palaie-Gaoteote-IV-85911/,Palaie Gaoteote IV,74.0,250,ILB,,,5.0,0.9926,,USC,
https://247sports.com/Player/Kevin-Harris-46038885/,Kevin Harris,76.0,228,OLB,,,4.0,0.9463,,Alabama,Georgia Tech
https://247sports.com/Player/Keyshawn-Greene-46050924/,Keyshawn Greene,75.0,195,OLB,,,4.0,0.9384,,Nebraska,Florida Atlantic
https://247sports.com/Player/Jaquan-Yulee-30668/,Jaquan Yulee,73.0,248,ILB,,,4.0,0.9285,,Marshall,
https://247sports.com/Player/Abdul-Malik-McClain-46039252/,Abdul-Malik McClain,76.0,245,OLB,,,4.0,0.9152,,USC,
https://247sports.com/Player/Trenell-Troutman-82951/,Trenell Troutman,70.0,188,OLB,,,4.0,0.9041,,Louisville,
https://247sports.com/Player/Osman-Savage-46041191/,Osman Savage,74.0,225,OLB,,,4.0,0.8992,,Michigan,
https://247sports.com/Player/Luke-Fulton-46047287/,Luke Fulton,75.0,215,ILB,,,3.0,0.8863,,Michigan State,
https://247sports.com/Player/Byron-Vaughns-46038529/,Byron Vaughns,75.5,216,OLB,,,3.0,0.8830,,Texas,
https://247sports.com/Player/Charles-Thomas-90862/,Charles Thomas,72.0,222,ILB,,,3.0,0.8810,,Michigan,
https://247sports.com/Player/Brandon-Hill-79223/,Brandon Hill,75.0,217,OLB,,,3.0,0.8767,Immediate,Duke,
https://247sports.com/Player/Ben-Wilson-94532/,Ben Wilson,74.0,220,ILB,,,3.0,0.8748,,TCU,
https://247sports.com/Player/Matthew-Flint-46038509/,Matthew Flint,72.0,240,ILB,,,3.0,0.8742,,North Carolina,
https://247sports.com/Player/Andrew-Johnson-46039756/,Andrew Johnson,74.0,222,OLB,,,3.0,0.8742,,Oregon,
https://247sports.com/Player/Kivon-Bennett-87905/,Kivon Bennett,74.0,245,OLB,,,3.0,0.8702,,Tennessee,
https://247sports.com/Player/PJ-Blue-59821/,P.J. Blue,74.0,210,OLB,,,3.0,0.8696,Immediate,Louisville,
https://247sports.com/Player/Thurman-Geathers-88545/,Thurman Geathers,75.0,218,OLB,,,3.0,0.8654,,Louisville,
https://247sports.com/Player/Octavius-Brothers-46054173/,Octavius Brothers,74.0,210,OLB,,,3.0,0.8634,,Auburn,
https://247sports.com/Player/Colin-Schooler-89571/,Colin Schooler,74.0,215,ILB,,,3.0,0.8631,Immediate,Arizona,Texas Tech
https://247sports.com/Player/Aubrey-Miller-89247/,Aubrey Miller,71.5,207,ILB,,,3.0,0.8630,,Missouri,
https://247sports.com/Player/Dimitri-Moore-50539/,Dimitri Moore,75.0,208,ILB,,,3.0,0.8577,Immediate,Vanderbilt,
https://247sports.com/Player/Marcel-Lewis-46042183/,Marcel Lewis,72.0,218,OLB,,,3.0,0.8572,,Michigan State,
https://247sports.com/Player/Alexy-Jean-Baptiste-61353/,Alexy Jean-Baptiste,75.0,205,OLB,,,3.0,0.8564,,FIU,
https://247sports.com/Player/Matthew-Tago-94567/,Matthew Tago,74.0,225,OLB,,,3.0,0.8550,,Oregon State,
https://247sports.com/Player/Jayden-Russell-46041425/,Jayden Russell,74.0,180,OLB,,,3.0,0.8531,,Miami (OH),
https://247sports.com/Player/Solomon-Turner-46049967/,Solomon Turner,73.5,209,OLB,,,3.0,0.8513,,Baylor,Hawaii
https://247sports.com/Player/Maverick-Wolfley-45495/,Maverick Wolfley,75.0,225,ILB,,,3.0,0.8510,,Akron,
https://247sports.com/Player/Colin-Anderson-87367/,Colin Anderson,74.0,210,ILB,,,3.0,0.8504,Immediate,Vanderbilt,
https://247sports.com/Player/Maureese-Wren-93957/,Maureese Wren,76.0,220,OLB,,,3.0,0.8489,,Texas State,
https://247sports.com/Player/Josh-Marsh-94749/,Josh Marsh,73.5,215,OLB,,,3.0,0.8456,,Auburn,
https://247sports.com/Player/Eric-Mitchell-56448/,Eric Mitchell,73.0,221,ILB,,,3.0,0.8444,,UCF,
https://247sports.com/Player/DeMarrquese-Hayes-46081978/,DeMarrquese Hayes,73.0,190,OLB,,,3.0,0.8431,,Kansas State,
https://247sports.com/Player/Devin-Gil-76236/,Devin Gil,73.0,231,OLB,,,3.0,0.8428,,USF,
https://247sports.com/Player/Cosmas-Kwete-46053624/,Cosmas Kwete,75.0,241,OLB,,,3.0,0.8418,,Washington State,Northern Arizona
https://247sports.com/Player/Cornelius-Evans-46078880/,Cornelius Evans,76.0,220,OLB,,,3.0,0.8389,,Georgia Tech,
https://247sports.com/Player/Yahweh-Jeudy-46050428/,Yahweh Jeudy,74.0,215,OLB,,,3.0,0.8276,,Iowa,
https://247sports.com/Player/Justin-Rice-80320/,Justin Rice,74.0,205,ILB,,,3.0,0.8259,Immediate,Fresno State,Arkansas State
https://247sports.com/Player/Elijah-Juarez-46080767/,Elijah Juarez,74.0,240,OLB,,,3.0,0.8254,,Arizona State,
https://247sports.com/Player/Paul-Scott-92209/,Paul Scott,73.0,205,ILB,,,3.0,0.8238,,Hawaii,
https://247sports.com/Player/Jack-del-Rio-46080045/,Jack del Rio,75.0,215,OLB,,,3.0,0.8227,,Rutgers,
https://247sports.com/Player/Chance-Cover-46037188/,Chance Cover,74.0,220,ILB,,,3.0,0.8215,,Texas Tech,
https://247sports.com/Player/TaeAviion-Gray-46051473/,Tae'Aviion Gray,74.0,208,OLB,,,3.0,0.8213,,USF,
https://247sports.com/Player/Mario-Wright-46039204/,Mario Wright,74.0,205,ILB,,,3.0,0.8204,,Western Kentucky,
https://247sports.com/Player/Chinedu-Ogbonna-89461/,Chinedu Ogbonna,74.0,225,OLB,,,3.0,0.8199,Immediate,Massachusetts,
https://247sports.com/Player/Zach-Bowers-46046966/,Zach Bowers,72.0,215,ILB,,,3.0,0.8154,,Hawaii,
https://247sports.com/Player/Racheem-Booth-57734/,Racheem Booth,72.0,210,ILB,,,3.0,0.8132,Immediate,Southern Miss,
https://247sports.com/Player/John-Brannon-75588/,John Brannon,73.0,228,ILB,,,3.0,0.8123,,Texas State,
https://247sports.com/Player/Treshaun-Hayward-86095/,Treshaun Hayward,73.0,210,ILB,,,3.0,0.8120,Immediate,Western Michigan,
https://247sports.com/Player/Hal-Vinson-63672/,Hal Vinson,73.0,240,OLB,,,3.0,0.8113,,Texas State,
https://247sports.com/Player/Michael-Ruane-92699/,Michael Ruane,71.0,230,ILB,,,3.0,0.8113,Immediate,Massachusetts,
https://247sports.com/Player/Michael-Pitts-83057/,Michael Pitts,75.0,242,OLB,,,3.0,0.8098,Immediate,Cincinnati,
https://247sports.com/Player/Rashaad-Harding-88878/,Rashaad Harding,73.0,210,OLB,,,3.0,0.8092,,Louisiana-Monroe,
https://247sports.com/Player/Isaiah-Graham-Mobley-84226/,Isaiah Graham-Mobley,74.0,225,ILB,,,3.0,0.8082,Immediate,Temple,
https://247sports.com/Player/Anthony-Smith-92203/,Anthony Smith,71.0,195,ILB,,,3.0,0.8042,Immediate,Texas State,
https://247sports.com/Player/Tim-McClendon-46040953/,Tim McClendon,72.0,205,ILB,,,3.0,0.8004,,Air Force,
https://247sports.com/Player/Jacobi-Hearn-91233/,Jacobi Hearn,71.0,219,OLB,,,2.0,0.7905,Immediate,New Mexico,
https://247sports.com/Player/Keeath-Magee-II-77054/,Keeath Magee II,72.0,225,ILB,,,2.0,0.7903,Immediate,Texas A&amp;M,
https://247sports.com/Player/Zamar-Kirven-46042458/,Zamar Kirven,74.0,200,OLB,,,2.0,0.7903,,Houston,
https://247sports.com/Player/Rashie-Hodge-46045814/,Rashie Hodge,72.0,195,ILB,,,2.0,0.7855,,New Mexico State,
https://247sports.com/Player/Cortez-Hogans-46040338/,Cortez Hogans,75.0,190,OLB,,,2.0,0.7853,,Northern Illinois,
https://247sports.com/Player/Joseph-Ozougwu-79027/,Joseph Ozougwu,75.0,205,OLB,,,2.0,0.7832,Immediate,North Texas,
https://247sports.com/Player/Justin-Whisenhunt-89190/,Justin Whisenhunt,73.0,210,OLB,,,2.0,0.7790,Immediate,Troy,
https://247sports.com/Player/Xavier-Steele-90044/,Xavier Steele,71.0,190,OLB,,,2.0,0.7681,Immediate,Massachusetts,
https://247sports.com/Player/Damon-Lowe-76803/,Damon Lowe,74.0,235,ILB,,,2.0,0.7667,,Western Kentucky,
https://247sports.com/Player/Isaiah-Karriem-46097532/,Isaiah Karriem,72.0,220,ILB,,,2.0,0.7600,,Texas State,
https://247sports.com/Player/Jordan-Jones-83675/,Jordan Jones,73.0,200,ILB,,,2.0,0.7197,,UAB,
https://247sports.com/Player/Nyles-Gaddy-46053445/,Nyles Gaddy,76.0,226,OLB,,,0.0,,,Tennessee,Jackson State
https://247sports.com/Player/Jack-Gibbens-45573050/,Jack Gibbens,76.0,240,ILB,,,0.0,,Immediate,Minnesota,
https://247sports.com/Player/Christian-Gomez-38458/,Christian Gomez,73.0,205,OLB,,,0.0,,,Florida Atlantic,
https://247sports.com/Player/Chris-Kolarevic-83292/,Chris Kolarevic,73.0,215,ILB,,,0.0,,Immediate,Northern Iowa,Nebraska
https://247sports.com/Player/Cooper-Lucas-46050882/,Cooper Lucas,70.0,225,ILB,,,0.0,,,Arkansas State,
https://247sports.com/Player/Maika-Magalei-46044328/,Maika Magalei,74.0,220,OLB,,,0.0,,Immediate,Utah State,
https://247sports.com/Player/Justin-Michel-46050874/,Justin Michel,73.0,225,ILB,,,0.0,,,FIU,
https://247sports.com/Player/Johnathon-Weir-46079292/,Johnathon Weir,70.0,225,OLB,,,0.0,,,Massachusetts,
