"","season","name","team","school","jersey","position","offensive_snaps","offensive_grade","defensive_snaps","defensive_grade","st_snaps","st_grade"
"107",2020,"Tray Eafford","troy-trojans","TROY","13","WR",270,71.7,NA,NA,54,67.3
"108",2020,"Theo Howard","oklahoma-sooners","OKLAHOMA","02","WR",220,63,NA,NA,8,60.7
"109",2020,"Walter Dawn Jr.","utep-miners","UTEP","26","WR",205,54.5,NA,NA,18,60.1
"110",2020,"Zac Crosby","appalachian-state-mountaineers","APP STATE","85","TE",70,58.5,NA,NA,11,52.5
"111",2020,"JD Spielman","tcu-horned-frogs","TCU","10","WR",69,62.5,NA,NA,20,60.8
"112",2020,"Dylan Thomas","tcu-horned-frogs","TCU","11","WR",51,61.7,NA,NA,NA,NA
"113",2020,"Darien Rencher","clemson-tigers","CLEMSON","21","HB",56,70.8,NA,NA,35,64.8
"114",2020,"Dedrick Mills","nebraska-cornhuskers","NEBRASKA","26","HB",174,63.1,NA,NA,2,60.6
"115",2020,"John Raine","northwestern-wildcats","NWESTERN","00","TE",315,60.6,NA,NA,NA,NA
"116",2020,"J.C. Chalk","clemson-tigers","CLEMSON","25","TE",118,55.1,NA,NA,NA,NA
"117",2020,"Tyrell Alexander","vanderbilt-commodores","VANDERBILT","11","WR",96,51.5,NA,NA,51,61.8
"118",2020,"Kyle Trask","florida-gators","FLORIDA","11","QB",582,92.7,NA,NA,1,60
"119",2020,"Chase Allen","iowa-state-cyclones","IOWA STATE","11","TE",409,70.5,NA,NA,100,78.3
"120",2020,"Zac Thomas","appalachian-state-mountaineers","APP STATE","12","QB",703,72.9,NA,NA,NA,NA
"121",2020,"Logan Bonner","arkansas-state-red-wolves","ARK STATE","12","QB",501,71,NA,NA,NA,NA
"122",2020,"Justin Chase","east-carolina-pirates","E CAROLINA","79","T",364,57,NA,NA,59,64.2
"123",2020,"Gio Pancotti","houston-cougars","HOUSTON","65","G",65,69.8,NA,NA,32,63.5
"124",2020,"Latrell Williams","usf-bulls","USF","08","WR",448,57,NA,NA,8,60.3
"125",2020,"Armani Rogers","ohio-bobcats","OHIO","18","QB",51,76.7,NA,NA,NA,NA
"126",2020,"Eli Peters","toledo-rockets","TOLEDO","12","QB",278,68.5,NA,NA,3,NA
"127",2020,"Garrett Groshek","wisconsin-badgers","WISCONSIN","37","HB",103,61.8,NA,NA,17,39.8
"128",2020,"Sam Noyer","colorado-buffaloes","COLORADO","04","QB",316,77.6,NA,NA,NA,NA
"129",2020,"Drayton Arnold","chattanooga-mocs","CHATTNOOGA","03","QB",67,66.9,NA,NA,NA,NA
"130",2020,"Shakif Seymour","toledo-rockets","TOLEDO","21","HB",31,75.4,NA,NA,9,59.5
"131",2020,"Austin Kendall","west-virginia-mountaineers","W VIRGINIA","12","QB",24,44.7,NA,NA,NA,NA
"132",2020,"Eli Stove","auburn-tigers","AUBURN","12","WR",219,75.6,NA,NA,48,58.1
"133",2020,"James Charles","florida-atlantic-owls","FAU","28","HB",177,76.6,NA,NA,52,60.5
"134",2020,"Xavier Gaines","marshall-thundering-herd","MARSHALL","11","TE",352,76,NA,NA,34,59.6
"135",2020,"Micah Wilson","missouri-tigers","MISSOURI","02","WR",107,59.6,1,60,17,66
"136",2020,"Chris Ferguson","liberty-flames","LIBERTY","14","QB",94,53.3,NA,NA,NA,NA
"137",2020,"Anthony Russo","temple-owls","TEMPLE","15","QB",256,70.2,NA,NA,5,NA
"138",2020,"Trevon Bradford","oregon-state-beavers","OREGON ST","08","WR",299,64.6,NA,NA,27,60
"139",2020,"Devon Modster","california-golden-bears","CAL","06","QB",4,79.1,NA,NA,NA,NA
"140",2020,"Taylor Edwards","massachusetts-minutemen","UMASS","18","TE",60,47.2,NA,NA,34,60.8
"141",2020,"Aaron Cephus","hawaii-warriors","HAWAII","28","WR",30,56.5,NA,NA,18,60.3
"142",2020,"Jalen Williams","louisiana-ragin-cajuns","LA LAFAYET","18","WR",312,68.6,NA,NA,59,59.2
"143",2020,"Tyler Burns","kansas-state-wildcats","KANSAS ST","33","HB",49,55.2,NA,NA,138,61.7
"144",2020,"Daquan Patten","western-carolina-catamounts","W CAROLINA","06","WR",67,56.2,NA,NA,9,59.1
"145",2020,"Tony Poljan","virginia-cavaliers","VIRGINIA","87","TE",485,69.2,NA,NA,106,73
"146",2020,"Da'Leon Ward","stephen-f-austin-lumberjacks","STF AUSTIN","21","HB",64,72.6,NA,NA,NA,NA
"147",2020,"Jordan Jones","cincinnati-bearcats","CINCINNATI","05","WR",204,62.5,NA,NA,NA,NA
"148",2020,"Daevon Vigilant","new-mexico-lobos","NEW MEXICO","05","HB",107,62.3,NA,NA,24,69.7
"149",2020,"Keyion Dixon","eastern-kentucky-colonels","E KENTUCKY","16","WR",144,79,NA,NA,1,NA
"150",2020,"Peyton Ramsey","northwestern-wildcats","NWESTERN","12","QB",446,75.8,NA,NA,NA,NA
"151",2020,"Josh Stewart","tulsa-golden-hurricane","TULSA","01","WR",159,59.9,NA,NA,32,58
"152",2020,"Brennon Dingle","utsa-roadrunners","UTSA","06","WR",359,62,NA,NA,92,62.4
"153",2020,"Woody Barrett","kent-state-golden-flashes","KENT STATE","15","QB",1,60,NA,NA,NA,NA
"154",2020,"Jacob Robertson Jr.","tulane-green-wave","TULANE","15","WR",172,55.4,NA,NA,2,60
"155",2020,"Jared Sparks","purdue-boilermakers","PURDUE","12","WR",65,56.8,NA,NA,23,75.8
"156",2020,"Ian Book","notre-dame-fighting-irish","NOTRE DAME","12","QB",710,82.9,NA,NA,1,NA
"157",2020,"Feleipe Franks","arkansas-razorbacks","ARKANSAS","13","QB",534,74.9,NA,NA,3,NA
"158",2020,"Dee Anderson","oklahoma-state-cowboys","OKLA STATE","11","WR",39,50.2,NA,NA,NA,NA
"159",2020,"Collin Hill","south-carolina-gamecocks","S CAROLINA","15","QB",471,77.1,NA,NA,1,NA
"160",2020,"Garet Morrell","marshall-thundering-herd","MARSHALL","12","TE",75,63.8,NA,NA,27,61.8
"161",2020,"Erik Swenson","oklahoma-sooners","OKLAHOMA","77","T",388,78.1,NA,NA,101,64.5
"162",2020,"Tyler Witt","western-kentucky-hilltoppers","W KENTUCKY","74","G",664,70.2,NA,NA,30,64.5
"163",2020,"TJ Chase","florida-atlantic-owls","FAU","08","WR",346,71.9,NA,NA,1,60
"164",2020,"Levi Falck","nebraska-cornhuskers","NEBRASKA","88","WR",252,60.2,1,60,10,90
"165",2020,"Asim Rose","kentucky-wildcats","KENTUCKY","10","HB",267,72,NA,NA,NA,NA
"166",2020,"K.J. Costello","mississippi-state-bulldogs","MISS STATE","03","QB",284,51.2,NA,NA,NA,NA
"167",2020,"Patrick O'Brien","colorado-state-rams","COLO STATE","12","QB",180,59.8,NA,NA,NA,NA
"168",2020,"Grant Loy","auburn-tigers","AUBURN","14","QB",13,60.1,NA,NA,2,NA
"169",2020,"Anselem Umeh","new-mexico-lobos","NEW MEXICO","07","WR",60,61,NA,NA,NA,NA
"170",2020,"Tyler Vaughns","usc-trojans","USC","21","WR",233,67.8,NA,NA,16,61.2
"171",2020,"Kyle Porter","houston-cougars","HOUSTON","22","HB",230,71.5,NA,NA,2,60
"172",2020,"Nick Starkel","san-jose-state-spartans","S JOSE ST","17","QB",250,79.4,NA,NA,NA,NA
"173",2020,"Spencer Jones","oklahoma-sooners","OKLAHOMA","87","WR",3,54.5,NA,NA,73,62.4
"174",2020,"Bubba Ogbebor","arkansas-state-red-wolves","ARK STATE","08","WR",57,66.9,2,52.9,172,62.9
"175",2020,"LD Brown","oklahoma-state-cowboys","OKLA STATE","00","HB",158,68.3,NA,NA,18,66.7
"176",2020,"Kyle Spalding","san-diego-state-aztecs","S DIEGO ST","71","T",487,80.4,NA,NA,37,64
"177",2020,"Dontae Crow","wyoming-cowboys","WYOMING","08","WR",158,56.6,NA,NA,51,60.8
"178",2020,"Shai Werts","georgia-southern-eagles","GA SOUTHRN","01","QB",582,65.4,NA,NA,5,42.6
"179",2020,"Brittain Brown","ucla-bruins","UCLA","28","HB",84,76,NA,NA,NA,NA
"180",2020,"Nick Eubanks","michigan-wolverines","MICHIGAN","82","TE",223,57.3,NA,NA,2,NA
"181",2020,"Kendric Pryor","wisconsin-badgers","WISCONSIN","03","WR",112,66.4,NA,NA,NA,NA
"182",2020,"Jaxson Kincaide","western-michigan-broncos","W MICHIGAN","07","HB",50,73.7,NA,NA,8,59.7
"183",2020,"Brandon Peters","illinois-fighting-illini","ILLINOIS","18","QB",154,75.3,NA,NA,NA,NA
"184",2020,"Keon Howard","tulane-green-wave","TULANE","09","QB",164,57.4,NA,NA,3,NA
"185",2020,"Alex Mollette","marshall-thundering-herd","MARSHALL","55","G",519,76.6,NA,NA,1,60
"186",2020,"Tre Nixon","ucf-knights","UCF","16","WR",191,64.9,NA,NA,1,60
"187",2020,"Tommy Doyle","miami-oh-redhawks","MIAMI OH","54","T",151,64.3,NA,NA,NA,NA
"188",2020,"Kyle Hoppe","san-jose-state-spartans","S JOSE ST","56","C",133,72.6,NA,NA,NA,NA
"189",2020,"Brayden Patton","northern-illinois-huskies","N ILLINOIS","58","C",381,68.2,NA,NA,7,60
"190",2020,"Zerrick Cooper","jacksonville-state-gamecocks","JVILLE ST","06","QB",66,57.2,NA,NA,NA,NA
"191",2020,"Valentino Daltoso","california-golden-bears","CAL","61","G",52,58.7,NA,NA,2,60.5
"192",2020,"Sean Dykes","memphis-tigers","MEMPHIS","05","TE",539,72.6,NA,NA,17,58.9
"193",2020,"Andrew Boselli","florida-state-seminoles","FLORIDA ST","60","G",86,61.6,NA,NA,6,61.2
"194",2020,"Tyler Johnson","louisiana-monroe-warhawks","LA MONROE","50","T",279,53.1,NA,NA,16,61.4
"195",2020,"Danny Godlevske","miami-oh-redhawks","MIAMI OH","51","C",162,72.1,NA,NA,NA,NA
"196",2020,"Rakeem Boyd","arkansas-razorbacks","ARKANSAS","05","HB",220,68.3,NA,NA,1,60
"197",2020,"C.J. Freeman","campbell-fighting-camels","CAMPBELL","02","HB",82,66.5,NA,NA,1,NA
"198",2020,"Tyler Ringwood","charlotte-49ers","CHARLOTTE","81","WR",131,69.3,NA,NA,30,35.7
"199",2020,"Deandre Bowman","georgia-state-panthers","GA STATE","43","WR",5,60.1,NA,NA,92,58.4
"200",2020,"Giovanni Fauolo Sr.","unlv-rebels","UNLV","45","TE",201,45.9,NA,NA,18,60.7
"201",2020,"Oakley Lavallii","central-michigan-chippewas","C MICHIGAN","48","TE",117,58.5,NA,NA,55,53.1
"202",2020,"Chris Barrett","liberty-flames","LIBERTY","15","TE",134,61.4,1,79.7,95,67.1
"203",2020,"Jahaziel Lee","georgia-tech-yellow-jackets","GA TECH","D95","DI",1,60,39,52.4,15,61.4
"204",2020,"Rex Culpepper","syracuse-orange","SYRACUSE","17","QB",349,33.4,NA,NA,NA,NA
"205",2020,"B.J. Smith","troy-trojans","TROY","26","HB",307,64.6,NA,NA,14,60.2
"206",2020,"Matt Lynch","colorado-buffaloes","COLORADO","84","TE",84,56.7,NA,NA,31,66.2
"207",2020,"Kene Nwangwu","iowa-state-cyclones","IOWA STATE","03","HB",109,68.1,NA,NA,44,59.9
"208",2020,"Josh Imatorbhebhe","illinois-fighting-illini","ILLINOIS","09","WR",382,65.7,NA,NA,1,60
"209",2020,"Lucas Johnson","san-diego-state-aztecs","S DIEGO ST","07","QB",76,76.8,NA,NA,NA,NA
"210",2020,"Clay Geary","minnesota-golden-gophers","MINNESOTA","18","WR",13,72.3,NA,NA,8,59.6
"211",2020,"Matt Fink","usc-trojans","USC","19","QB",4,61.7,NA,NA,NA,NA
"212",2020,"Ayden Eberhardt","wyoming-cowboys","WYOMING","19","WR",219,70.7,NA,NA,96,61.1
"213",2020,"Jack Abraham","southern-miss-golden-eagles","SO MISS","15","QB",320,74.1,NA,NA,NA,NA
"214",2020,"Jack Lindsey","arkansas-razorbacks","ARKANSAS","18","QB",1,70.8,NA,NA,33,61.7
"215",2020,"Israel Tucker","louisiana-tech-bulldogs","LA TECH","22","HB",337,63.2,NA,NA,NA,NA
"216",2020,"Andrew Tsangeos","rice-owls","RICE","46","TE",1,60,NA,NA,19,57.8
"217",2020,"Demetric Felton","ucla-bruins","UCLA","10","HB",262,76.4,NA,NA,22,60.8
"218",2020,"Zach Kahn","miami-oh-redhawks","MIAMI OH","29","HB",67,77.1,NA,NA,29,59.9
"219",2020,"Velus Jones Jr.","tennessee-volunteers","TENNESSEE","01","WR",272,58.5,NA,NA,92,66.9
"220",2020,"Saevion Johnson","fresno-state-bulldogs","FRESNO ST","24","FB",6,47.8,NA,NA,7,57.7
"221",2020,"Dominic Benson","san-diego-state-aztecs","S DIEGO ST","06","WR",68,64.7,NA,NA,14,65.6
"222",2020,"Marcus Williams Jr.","appalachian-state-mountaineers","APP STATE","08","HB",122,77.3,NA,NA,NA,NA
"223",2020,"Prather Hudson","georgia-bulldogs","GEORGIA","D24","HB",1,65.2,NA,NA,127,63.3
"224",2020,"Vavae Malepeai","usc-trojans","USC","29","HB",126,71.2,NA,NA,11,62.1
"225",2020,"Kylen Granson","smu-mustangs","SMU","83","TE",631,70.7,NA,NA,32,57.2
"226",2020,"Alex Akingbulu","fresno-state-bulldogs","FRESNO ST","75","T",83,65.7,NA,NA,2,60
"227",2020,"Devery Hamilton","duke-blue-devils","DUKE","72","T",755,74.7,NA,NA,1,NA
"228",2020,"Zachariah Hoyt","virginia-tech-hokies","VA TECH","75","C",44,67.4,NA,NA,NA,NA
"229",2020,"Justin Rice","arkansas-state-red-wolves","ARK STATE","D18","LB",1,60,674,66.4,152,71.3
"230",2020,"Vincent Picozzi","temple-owls","TEMPLE","76","G",426,64.5,NA,NA,5,NA
"231",2020,"Nate Brown","nevada-wolf-pack","NEVADA","76","G",395,58.9,NA,NA,31,63.5
"232",2020,"Kaleb Slaven","ball-state-cardinals","BALL ST","77","T",304,59.6,NA,NA,26,61.9
"233",2020,"Grant Hermanns","purdue-boilermakers","PURDUE","78","T",425,65.8,NA,NA,31,62.2
"234",2020,"Tevaka Tuioti","new-mexico-lobos","NEW MEXICO","08","QB",146,75.4,NA,NA,NA,NA
"235",2020,"Brandon Johnson","tennessee-volunteers","TENNESSEE","07","WR",278,66,NA,NA,61,62.7
"236",2020,"Seth Green","minnesota-golden-gophers","MINNESOTA","17","WR",68,65.4,NA,NA,6,69.3
"237",2020,"Tyrin Summers","chattanooga-mocs","CHATTNOOGA","09","WR",31,53.4,NA,NA,4,59.9
"238",2020,"Willie Erdman","temple-owls","TEMPLE","84","WR",26,54.1,NA,NA,90,58.8
"239",2020,"C.J. Riley","north-carolina-state-wolfpack","NC STATE","19","WR",261,56.4,NA,NA,24,63.4
"240",2020,"Cornell Powell","clemson-tigers","CLEMSON","17","WR",510,72.7,NA,NA,37,59.4
"241",2020,"Keith Corbin","houston-cougars","HOUSTON","02","WR",327,67.7,NA,NA,8,61.7
"242",2020,"Kamari Pleasant","washington-huskies","WASHINGTON","24","HB",110,69.8,NA,NA,34,61.8
"243",2020,"Adam Krumholz","wisconsin-badgers","WISCONSIN","24","WR",71,49,NA,NA,29,52.6
"244",2020,"Sean McGrew","washington-huskies","WASHINGTON","05","HB",86,75.3,NA,NA,11,60.2
"245",2020,"Corey Taylor II","tulsa-golden-hurricane","TULSA","24","HB",147,71.9,NA,NA,NA,NA
"246",2020,"Terry Wilson","kentucky-wildcats","KENTUCKY","03","QB",508,65.5,NA,NA,1,NA
"247",2020,"Donnavan Spencer","western-carolina-catamounts","W CAROLINA","20","HB",81,72.8,NA,NA,NA,NA
"248",2020,"Michael Eletise","hawaii-warriors","HAWAII","76","G",467,67.8,NA,NA,32,62.5
"249",2020,"Elijah Johnson","colorado-state-rams","COLO STATE","53","G",228,57.9,NA,NA,NA,NA
"250",2020,"Sean Bailey","east-carolina-pirates","E CAROLINA","75","G",458,46.8,NA,NA,46,65.4
"251",2020,"Chris Owens","alabama-crimson-tide","ALABAMA","79","C",91,51.1,NA,NA,13,63
"252",2020,"Josh Ball","marshall-thundering-herd","MARSHALL","79","T",392,81.6,NA,NA,54,63.2
